variable_id,Mass,Metabolite,KEGG,HMDB,CAS,ChEBI,ppm,Mode,med,Ions,MSMS,Used.for.Quant,Super.pathway,Sub.pathway,true_name,mean_int
nHILIC_133.0506_2.3,133.0506_2.3,"2,3-Dihydroxyvaleric acid",C04039,HMDB00421,26386-47-0,HMDB,-0.214892254,nHILIC,70000,[M-H]-,YES,Y,Cofactors and Vitamins,Pantothenate and CoA Metabolism,"2,3-Dihydroxyvaleric acid",362197.2957
nRPLC_149.0607_4.6,149.0607_4.6,3-Phenylpropionate (hydrocinnamate),C05629,HMDB00764,,,-0.66345932,nRPLC,70000,[M-H]-,YES,Y,Xenobiotics,Benzoate Metabolism,3-Phenylpropionate (hydrocinnamate),89773.74796
nHILIC_179.0348_2.2,179.0348_2.2,4-Hydroxyphenylpyruvic acid,C01179,HMDB00707,156-39-8,HMDB,-0.99279013,nHILIC,50000,[M-H]-,YES,Y,Amino Acid,Tyrosine Metabolism,4-Hydroxyphenylpyruvic acid,69155.01018
nRPLC_203.002_1.9,203.002_1.9,4-Methylcatechol sulfate,,HMDB0240461,,,0.176188064,nRPLC,3.00E+05,[M-H]-,YES,Y,Xenobiotics,Benzoate Metabolism,4-Methylcatechol sulfate,390287.4229
nHILIC_197.0679_1.4,197.0679_1.4,5-Acetylamino-6-amino-3-methyluracil,C16366,HMDB04400,,,-0.556384702,nHILIC,2.00E+06,[M-H]-,YES,Y,Xenobiotics,Xanthine Metabolism,5-Acetylamino-6-amino-3-methyluracil,2311093.18
nHILIC_128.0352_7.6,128.0352_7.6,5-oxoproline,C01879,HMDB00267,,,-0.929926331,nHILIC,6.00E+06,[M-H]-,YES,Y,Amino Acid,Glutathione Metabolism,5-oxoproline,6764532.299
nRPLC_371.1881_9.5,371.1881_9.5,"5alpha-Androstan-3alpha,17alpha-diol monosulfate",,,,,4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|0.990313205912641|0.990313205912641|4.58359800172553|4.58359800172553|4.58359800172553,nRPLC,1.00E+05,[M-H]-,YES,Y,Lipid,Androgenic Steroids,"5alpha-Androstan-3alpha,17alpha-diol monosulfate",267847.5099
nRPLC_467.2636_8.4,467.2636_8.4,"5alpha-Androstan-3alpha,17beta-diol 17-glucuronide",,,,,-3.071418834,nRPLC,20000,[M-H]-,YES,Y,Lipid,Androgenic Steroids,"5alpha-Androstan-3alpha,17beta-diol 17-glucuronide",24570.07424
nRPLC_429.3008_10.3,429.3008_10.3,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),C17337,HMDB12458,,,-0.534110352,nRPLC,4.00E+05,[M-H]-,YES,Y,Lipid,Sterol,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),413741.6928
pHILIC_269.1239_8.3,269.1239_8.3,Acetylcarnosine,,HMDB12881,56353-15-2,HMDB,-1.995474954,pHILIC,2.00E+05,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism,Acetylcarnosine,264298.0644
pHILIC_203.1388_8.9,203.1388_8.9,Ala-Leu or Leu-Ala,,HMDB0028691,,,-1.100530981,pHILIC,60000,[M+H]+,YES,Y,Peptide,Dipeptide,Ala-Leu or Leu-Ala,70483.91967
pHILIC_178.0532_7.5,178.0532_7.5,Alliin,C08265,HMDB33592,,,-0.248031697,pHILIC,60000,[M+H]+,YES,Y,Xenobiotics,Food Component/Plant,Alliin,115227.5948
pRPLC_265.1184_2.6,265.1184_2.6,Alpha-N-Phenylacetyl-L-glutamine,C04148,HMDB06344,,HMDB,0.427812354,pRPLC,8.00E+05,[M+H]+,YES,Y,Peptide,Acetylated Peptides,Alpha-N-Phenylacetyl-L-glutamine,898568.9873
nHILIC_224.0617_4.8,224.0617_4.8,"Androstenediol (3beta,17beta) disulfate",C04295,HMDB03818,,,4.106181136,nHILIC,2.00E+06,[M-H]2-,YES,Y,Lipid,Androgenic Steroids,"Androstenediol (3beta,17beta) disulfate",2293139.04
nRPLC_465.2489_8.6,465.2489_8.6,Androsterone glucuronide,C11135,HMDB02829,1852-43-3,HMDB,-1.047046712,nRPLC,2.00E+05,[M-H]-,YES,Y,Lipid,Androgenic Steroids,Androsterone glucuronide,198237.1357
nRPLC_369.1741_9.5,369.1741_9.5,Androsterone sulfate,,HMDB02759,2479-86-9,HMDB,-0.0398723458189992|-0.0398723458189992|-0.0398723458189992|0.510012145841384,nRPLC,6.00E+06,[M-H]-,YES,Y,Lipid,Androgenic Steroids,Androsterone sulfate,7676563.606
nHILIC_151.0611_5.4,151.0611_5.4,Arabitol | Xylitol,C01904,HMDB0001851,,,-0.614815519,nHILIC,1.00E+05,[M-H]-,YES,Y,Carbohydrate,Pentose Metabolism,Arabitol | Xylitol,146380.4463
nHILIC_165.0405_8.5,165.0405_8.5,Arabonate | Xylonate,,HMDB0000539,,,0.252626081586609|0.252626081586609|-4.97718186883818|0.252626081586609|0.252626081586609|0.252626081586609,nHILIC,5.00E+05,[M-H]-,YES,Y,Carbohydrate,Pentose Metabolism,Arabonate | Xylonate,591701.9382
nHILIC_247.057_11.8,247.057_11.8,Asp-Asp,,HMDB0028749,,,-0.688321592,nHILIC,70000,[M-H]-,YES,Y,Peptide,Dipeptide,Asp-Asp,77586.03074
nHILIC_261.0725_10.7,261.0725_10.7,Asp-Glu or Glu-Asp,,HMDB0028752,,,-1.224100539,nHILIC,2.00E+06,[M-H]-,YES,Y,Peptide,Dipeptide,Asp-Glu or Glu-Asp,1924130.567
pHILIC_160.0967_7.5,160.0967_7.5,Betonicine,C08269,HMDB29412,,,-0.774954111,pHILIC,3.00E+05,[M+H]+,YES,Y,Xenobiotics,Food Component/Plant,Betonicine,877702.9422
pHILIC_585.2694_4.9,585.2694_4.9,Bilirubin,C00486,HMDB00054,,,-2.336115852,pHILIC,9.00E+05,[M+H]+,YES,Y,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,Bilirubin,1990805.44
pHILIC_583.2539_5.3,583.2539_5.3,Biliverdin,C00500,HMDB01008,,,-2.086469819,pHILIC,1.00E+06,[M+H]+,YES,Y,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,Biliverdin,1195287.182
nHILIC_87.045_4.2,87.045_4.2,Butyric acid|Isobutyric acid,C00246|C02632,HMDB00039|HMDB01873,107-92-6|79-31-2,HMDB,-1.697854956,nHILIC,1.00E+05,[M-H]-,YES,Y,Energy,Butanoate metabolism,Butyric acid|Isobutyric acid,121290.7785
nHILIC_188.9862_0.9,188.9862_0.9,Catechol sulfate,,HMDB59724,,HMDB,-0.599978483,nHILIC,6.00E+05,[M-H]-,YES,Y,Xenobiotics,Benzoate Metabolism,Catechol sulfate,5265869.671
nRPLC_391.2856_9.8,391.2856_9.8,Chenodeoxycholic Acid,,HMDB0000518,,HMDB,0.561396883,nRPLC,5.00E+05,[M-H]-,YES,Y,Lipid,Primary Bile Acid Metabolism,Chenodeoxycholic Acid,653486.6916
nHILIC_512.2684_5.7,512.2684_5.7,Chenodeoxycholic acid 3-sulfate,C11301,HMDB02639,15324-64-8,HMDB,-0.669084886,nHILIC,5.00E+05,[M-H]-,YES,Y,Lipid,Secondary Bile Acid Metabolism,Chenodeoxycholic acid 3-sulfate,566003.8391
nRPLC_448.3069_9.4,448.3069_9.4,Chenodeoxycholic acid glycine conjugate,C05466,HMDB00637,640-79-9,HMDB,0.12576723,nRPLC,2.00E+06,[M-H]-,YES,Y,Lipid,Primary Bile Acid Metabolism,Chenodeoxycholic acid glycine conjugate,3351197.087
nRPLC_407.2804_9.2,407.2804_9.2,Cholic Acid,,HMDB0000619,,HMDB,0.258665655,nRPLC,90000,[M-H]-,YES,Y,Lipid,Primary Bile Acid Metabolism,Cholic Acid,368133.9966
nRPLC_204.0666_4.3,204.0666_4.3,Cinnamoylglycine,,HMDB11621,16534-24-0,HMDB,-0.064479201,nRPLC,30000,[M-H]-,YES,Y,Xenobiotics,Food Component/Plant,Cinnamoylglycine,37753.53882
pRPLC_169.0971_1.6,169.0971_1.6,Cyclo(ala-pro),,HMDB0028695,,,-0.47593602,pRPLC,40000,[M+H]+,YES,Y,Peptide,Dipeptide,Cyclo(ala-pro),44332.4966
pHILIC_179.0484_7.4,179.0484_7.4,Cys-Gly or Gly-Cys,,HMDB0000078,,,-0.52171094,pHILIC,1.00E+05,[M+H]+,YES,Y,Peptide,Dipeptide,Cys-Gly or Gly-Cys,141483.3313
nHILIC_217.0651_5,217.0651_5,Cys-Pro or Pro-Cys,,HMDB0028783,,,-0.609953447563239|-0.609953447563239|3.47380534854027,nHILIC,2.00E+06,[M-H]-,YES,Y,Peptide,Dipeptide,Cys-Pro or Pro-Cys,1815250.467
nHILIC_425.0806_12.4,425.0806_12.4,Cysteineglutathione disulfide,,HMDB00656,13081-14-6,HMDB,-0.058861097,nHILIC,2.00E+05,[M-H]-,YES,Y,Amino Acid,Glutathione Metabolism,Cysteineglutathione disulfide,216241.1729
nRPLC_367.1585_8.9,367.1585_8.9,Dehydroisoandrosterone sulfate (DHEA-S),C04555,HMDB01032,,,0.095891584,nRPLC,1.00E+07,[M-H]-,YES,Y,Lipid,Androgenic Steroids,Dehydroisoandrosterone sulfate (DHEA-S),15133287.42
pRPLC_277.0384_5.1,277.0384_5.1,Dihydroferulic acid,,HMDB0062121,,,2.70466605368801|3.44210826679891,pRPLC,30000,[M-H]-,YES,Y,Xenobiotics,Food Component/Plant,Dihydroferulic acid,41240.19282
nRPLC_415.3217_11.4,415.3217_11.4,Dihydroxyvitamin D3,,HMDB00430,,HMDB,-0.048038933,nRPLC,3.00E+05,[M-H]-,YES,Y,Cofactors and Vitamins,Vitamin D Metabolism,Dihydroxyvitamin D3,352330.7285
nHILIC_121.0505_3.5,121.0505_3.5,Erythritol|D-Threitol,C00503|C16884,HMDB02994|HMDB04136,149-32-6|2418-52-2,HMDB,-1.05530348,nHILIC,1.00E+05,[M-H]-,YES,Y,Xenobiotics,Food Component/Plant,Erythritol|D-Threitol,153641.0574
nHILIC_238.0929_7.3,238.0929_7.3,ethyl glucuronide,,HMDB10325,,,-1.346310153,nHILIC,3.00E+05,[M-H]-,YES,Y,Xenobiotics,Chemical,ethyl glucuronide,327738.5028
nHILIC_131.0349_5.1,131.0349_5.1,Ethylmalonate,,HMDB00622,,,-0.596354892,nHILIC,2.00E+05,[M-H]-,YES,Y,Amino Acid,"""Leucine, Isoleucine and Valine Metabolism""",Ethylmalonate,219116.612
nRPLC_243.0331_5.4,243.0331_5.4,eugenol sulfate,,,95480-60-7,,-0.672773907,nRPLC,20000,[M-H]-,YES,Y,Xenobiotics,Food Component/Plant,eugenol sulfate,42646.38615
pHILIC_309.1649_15.6,309.1649_15.6,Fructoselysine,C16488,HMDB0252495,,,-2.372591014,pHILIC,3.00E+05,[M+H]+,YES,Y,Carbohydrate,Pentose Metabolism,Fructoselysine,352298.9135
nRPLC_263.1289_6.8,263.1289_6.8,gamma-CEHC,,HMDB01931,,,0.079019845,nRPLC,10000,[M-H]-,YES,Y,Cofactors and Vitamins,Tocopherol Metabolism,gamma-CEHC,50145.77693
nRPLC_283.1088_9.6,283.1088_9.6,gamma-glutamylhistidine,,HMDB0029151,,,-0.043601897,nRPLC,2.00E+05,[M-H]-,YES,Y,Peptide,Gamma-glutamyl Amino Acid,gamma-glutamylhistidine,191992.8933
pRPLC_295.1292_1.3,295.1292_1.3,gamma-glutamylphenylalanine,,HMDB00594,,,1.184216396,pRPLC,40000,[M+H]+,YES,Y,Peptide,Gamma-glutamyl Amino Acid,gamma-glutamylphenylalanine,37003.58669
pHILIC_249.1078_10.4,249.1078_10.4,gamma-glutamylthreonine,,HMDB29159,,,-1.274701077,pHILIC,3.00E+06,[M+H]+,YES,Y,Peptide,Gamma-glutamyl Amino Acid,gamma-glutamylthreonine,3032042.321
nRPLC_153.0193_2.1,153.0193_2.1,Gentisic acid,C00628,HMDB00152,490-79-9,HMDB,-0.186201628,nRPLC,50000,[M-H]-,YES,Y,Amino Acid,Tyrosine Metabolism,Gentisic acid,69429.24852
nHILIC_202.1197_13.3,202.1197_13.3,Gly-Lys or Lys-Gly,,HMDB0028846,,,-0.056245606,nHILIC,90000,[M-H]-,YES,Y,Peptide,Dipeptide,Gly-Lys or Lys-Gly,90687.19635
nRPLC_464.3015_8.8,464.3015_8.8,Glycocholic acid,C01921,HMDB00138,475-31-0,HMDB,-0.554713367,nRPLC,2.00E+05,[M-H]-,YES,Y,Lipid,Primary Bile Acid Metabolism,Glycocholic acid,654751.649
pHILIC_189.1345_14.4,189.1345_14.4,Homoarginine,C01924,HMDB00670,,,-0.562257817,pHILIC,1.00E+06,[M+H]+,YES,Y,Amino Acid,Urea cycle; Arginine and Proline Metabolism,Homoarginine,1298649.916
pHILIC_158.1174_6.2,158.1174_6.2,Homostachydrine,C08283,HMDB33433,,,-1.01030411,pHILIC,5.00E+05,[M+H]+,YES,Y,Xenobiotics,Food Component/Plant,Homostachydrine,671625.3938
nHILIC_103.04_4.6,103.04_4.6,Hydroxybutyric acid,,HMDB0000710,,,-0.616277523,nHILIC,8.00E+06,[M-H]-,YES,Y,Amino Acid,Glutathione Metabolism,Hydroxybutyric acid,8691325.384
nHILIC_194.0458_4.6,194.0458_4.6,Hydroxyhippurate,,HMDB0013678,,,-0.398768376,nHILIC,70000,[M-H]-,YES,Y,Xenobiotics,Benzoate Metabolism,Hydroxyhippurate,1233088.007
pHILIC_157.0607_8.3,157.0607_8.3,Imidazolelactic acid,C05132,HMDB02320,876-19-7,HMDB,-0.462226333,pHILIC,1.00E+05,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism,Imidazolelactic acid,114795.1891
nHILIC_132.0302_8.3,132.0302_8.3,Iminodiacetate (IDA),C19911,HMDB11753,,,-0.208339785,nHILIC,1.00E+05,[M-H]-,YES,Y,Xenobiotics,Chemical,Iminodiacetate (IDA),100900.5167
nHILIC_302.1148_6.5,302.1148_6.5,Indoleacetyl glutamine,,HMDB13240,4/3/99,HMDB,0.573871095107597|-3.83822583965149|0.573871095107597,nHILIC,70000,[M-H]-,YES,Y,Amino Acid,Tryptophan Metabolism,Indoleacetyl glutamine,94788.73295
pHILIC_146.0811_7.5,146.0811_7.5,Isobutyrylglycine,,HMDB00730,,,-0.504729248,pHILIC,5.00E+05,[M+H]+,YES,Y,Amino Acid,"""Leucine, Isoleucine and Valine Metabolism""",Isobutyrylglycine,1400664.591
nRPLC_117.0557_0.6,117.0557_0.6,L-_-Hydroxyisovaleric acid,,HMDB00407,,,-0.120156208,nRPLC,7.00E+05,[M-H]-,YES,Y,Amino Acid,"""Leucine, Isoleucine and Valine Metabolism""",L-_-Hydroxyisovaleric acid,785823.7962
nHILIC_274.1407_12.3,274.1407_12.3,L-a-glutamyl-L-Lysine,C04700,HMDB04207,5891-53-2,HMDB,-0.511713733,nHILIC,3.00E+05,[M-H]-,YES,Y,Peptide,Dipeptide,L-a-glutamyl-L-Lysine,291868.6266
nHILIC_235.0723_6.5,235.0723_6.5,L-Formylkynurenine,C02700,HMDB60485,,HMDB,-0.537454362,nHILIC,90000,[M-H]-,YES,Y,Amino Acid,Tryptophan Metabolism,L-Formylkynurenine,140995.6301
nRPLC_511.3039_10.3,511.3039_10.3,LysoPG(18:0),,,,,-0.467836755,nRPLC,40000,[M-H]-,YES,Y,Lipid,Phospholipid Metabolism,LysoPG(18:0),39794.10363
nRPLC_230.9968_4.1,230.9968_4.1,methyl-4-hydroxybenzoate sulfate,,HMDB0168668,,,-0.339123346,nRPLC,30000,[M-H]-,YES,Y,Xenobiotics,Benzoate Metabolism,methyl-4-hydroxybenzoate sulfate,91039.76378
nRPLC_299.2228_9.3,299.2228_9.3,MG(14:1),,HMDB11531,,HMDB,0.068240997,nRPLC,20000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(14:1),23451.16793
nRPLC_315.2541_9.4,315.2541_9.4,MG(15:0),,HMDB11532,,HMDB,0.06437713,nRPLC,50000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(15:0),58933.1675
nRPLC_327.2538_10.5,327.2538_10.5,MG(16:1),,HMDB11534,,HMDB,-0.851882898,nRPLC,20000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(16:1),19787.76903
pRPLC_359.3154_11,359.3154_11,MG(18:0),,HMDB11131,,HMDB,-0.529800999,pRPLC,2.00E+06,[M+H]+,YES,Y,Lipid,Monoacylglycerol,MG(18:0),2802861.769
nRPLC_355.2852_11,355.2852_11,MG(18:1),,HMDB11536,,HMDB,-0.504551766,nRPLC,20000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(18:1),23992.93696
nRPLC_351.254_10.3,351.254_10.3,MG(18:3),,HMDB11539,,HMDB,-0.226082185,nRPLC,60000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(18:3),65304.79632
nRPLC_385.332_10.8,385.332_10.8,MG(20:0),,HMDB11542,,HMDB,-0.854067958,nRPLC,10000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(20:0),18392.72797
nRPLC_377.2696_10.5,377.2696_10.5,MG(20:4),,HMDB04666,53847-30-6,HMDB,-0.342881119,nRPLC,60000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(20:4),69317.81711
nRPLC_375.254_10.2,375.254_10.2,MG(20:5),,HMDB11550,,HMDB,-0.211661429,nRPLC,30000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(20:5),31417.6744
nRPLC_409.3322_11.2,409.3322_11.2,MG(22:2),,HMDB11553,,HMDB,-0.316713371,nRPLC,20000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(22:2),23693.70447
nRPLC_441.3947_11.3,441.3947_11.3,MG(24:0),,HMDB11558,,HMDB,-0.520377418,nRPLC,1.00E+05,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(24:0),122331.523
nRPLC_439.3792_11.1,439.3792_11.1,MG(24:1),,HMDB11559,,HMDB,-0.182003771,nRPLC,40000,[M-H]-,YES,Y,Lipid,Monoacylglycerol,MG(24:1),48871.70686
pHILIC_280.1384_8,280.1384_8,N-(1-Deoxy-1-fructosyl)valine,,HMDB37844,,HMDB,-2.443407242,pHILIC,90000,[M+H]+,YES,Y,Amino Acid,"""Leucine, Isoleucine and Valine Metabolism""",N-(1-Deoxy-1-fructosyl)valine,122188.3841
pHILIC_212.1026_7.4,212.1026_7.4,N-acetyl-1-methylhistidine,,HMDB0240340,,,-1.758906829,pHILIC,1.00E+05,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism,N-acetyl-1-methylhistidine,178249.0957
nHILIC_160.0615_7.2,160.0615_7.2,N-acetylthreonine,,HMDB0062557,,,-0.124170556,nHILIC,60000,[M-H]-,YES,Y,Amino Acid,"""Glycine, Serine and Threonine Metabolism""",N-acetylthreonine,90863.79025
pHILIC_130.0863_6.6,130.0863_6.6,N-methylproline,,HMDB0094696,,,0.320726017,pHILIC,2.00E+06,[M+H]+,YES,Y,Amino Acid,Urea cycle; Arginine and Proline Metabolism,N-methylproline,1724519.397
pRPLC_153.0658_1.2,153.0658_1.2,N1-Methyl-2-pyridone-5-carboxamide,C05842,HMDB04193,,,-0.378209652,pRPLC,4.00E+05,[M+H]+,YES,Y,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,N1-Methyl-2-pyridone-5-carboxamide,478368.2643
pHILIC_282.119_6.7,282.119_6.7,N1-methyladenosine,C02494,HMDB03331,,,-2.43317140935536|-2.43317140935536|-2.43317140935536|-2.43317140935536|2.32438192199972|-2.43317140935536,pHILIC,5.00E+05,[M+H]+,YES,Y,Nucleotide,"""Purine Metabolism, Adenine containing""",N1-methyladenosine,543272.4889
pRPLC_312.1305_2.8,312.1305_2.8,"N2,N2-Dimethylguanosine",,HMDB04824,2140-67-2,HMDB,0.80778606,pRPLC,20000,[M+H]+,YES,Y,Nucleotide,"""Purine Metabolism, Guanine containing""","N2,N2-Dimethylguanosine",22571.68991
nRPLC_411.127_3.6,411.127_3.6,N6-Carbamoyl-L-threonyladenosine,,HMDB41623,,HMDB,0.044534029,nRPLC,20000,[M-H]-,YES,Y,Nucleotide,"""Purine Metabolism, Adenine containing""",N6-Carbamoyl-L-threonyladenosine,19343.24571
pRPLC_310.3104_11.1,310.3104_11.1,Oleoyl Ethyl Amide,,,85075-82-7,,-0.145084214,pRPLC,1.00E+05,[M+H]+,YES,Y,Lipid,Long Chain Fatty Acid,Oleoyl Ethyl Amide,180217.3819
nHILIC_287.052_8.1,287.052_8.1,Orotidine,C01103,HMDB00788,314-50-1,HMDB,-0.29636261,nHILIC,1.00E+05,[M-H]-,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Orotate containing""",Orotidine,108933.2213
nHILIC_88.988_11,88.988_11,Oxalate (ethanedioate),C00209,HMDB02329,,,-0.317261083,nHILIC,2.00E+05,[M-H]-,YES,Y,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,Oxalate (ethanedioate),185575.737
nRPLC_283.0822_2.4,283.0822_2.4,p-Cresol glucuronide,,HMDB11686,,,-0.432490496,nRPLC,30000,[M-H]-,YES,Y,Amino Acid,Tyrosine Metabolism,p-Cresol glucuronide,54536.07261
nRPLC_187.007_2.3,187.007_2.3,p-Cresol sulfate,,HMDB0011635,,HMDB,-0.262926837132504|3.62609691143212|0.819740926145161|0.819740926145161,nRPLC,2.00E+07,[M-H]-,YES,Y,Amino Acid,Tyrosine Metabolism,p-Cresol sulfate,17881105.71
nRPLC_312.2546_10.4,312.2546_10.4,Palmitoylglycine,,HMDB13034,158305-64-7,HMDB,0.593781152,nRPLC,10000,[M-H]-,YES,Y,Lipid,Fatty Acid Metabolism(Acyl Glycine),Palmitoylglycine,12132.06941
pRPLC_181.0718_3.1,181.0718_3.1,Paraxanthine,C13747,HMDB01860,611-59-6,HMDB,-1.141368661,pRPLC,1.00E+06,[M+H]+,YES,Y,Xenobiotics,Xanthine Metabolism,Paraxanthine,1875926.37
pHILIC_732.5525_5.1,732.5525_5.1,PC(32:1),,HMDB0007904,,,-1.756540765,pHILIC,3.00E+06,[M+H]+,YES,Y,,,PC(32:1),4487452.586
pHILIC_746.5694_5.1,746.5694_5.1,PC(33:1),,HMDB0008099,,,-0.047015532,pHILIC,9.00E+05,[M+H]+,YES,Y,,,PC(33:1),1449721.617
pHILIC_740.522_4.4,740.522_4.4,PC(33:4),,HMDB0007943,,,-0.655647531,pHILIC,1.00E+06,[M+H]+,YES,Y,,,PC(33:4),1396459.057
pHILIC_758.5668_5.1,758.5668_5.1,PC(34:2),,HMDB0008101,,,-3.478344514,pHILIC,9.00E+07,[M+H]+,YES,Y,,,PC(34:2),134071959.9
pHILIC_754.5367_5.1,754.5367_5.1,PC(34:4),,HMDB0008007,,,-1.904272032,pHILIC,2.00E+05,[M+H]+,YES,Y,,,PC(34:4),349883.379
pHILIC_772.5828_5.1,772.5828_5.1,PC(35:2),,HMDB0008330,,,-2.961624547,pHILIC,2.00E+06,[M+H]+,YES,Y,,,PC(35:2),2494047.154
pHILIC_768.5548_4.4,768.5548_4.4,PC(35:4),,HMDB0008461,,,1.322408025,pHILIC,2.00E+06,[M+H]+,YES,Y,,,PC(35:4),2871776.326
pHILIC_786.5972_5.1,786.5972_5.1,PC(36:2),,HMDB0008103,,,-4.500033554,pHILIC,4.00E+07,[M+H]+,YES,Y,,,PC(36:2),60016902.05
pHILIC_782.5665_5.1,782.5665_5.1,PC(36:4),,HMDB0008074,,,-3.755381454,pHILIC,4.00E+07,[M+H]+,YES,Y,,,PC(36:4),71577205.83
pHILIC_778.5358_5.1,778.5358_5.1,PC(36:6),,HMDB0008237,,,-3.003008816,pHILIC,1.00E+05,[M+H]+,YES,Y,,,PC(36:6),181056.0808
pHILIC_792.5536_4.5,792.5536_4.5,PC(37:6),,HMDB0008724,,,-0.233705843,pHILIC,7.00E+05,[M+H]+,YES,Y,,,PC(37:6),875774.6342
pHILIC_810.597_4.8,810.597_4.8,PC(38:4),,HMDB0008079,,,-4.613671478,pHILIC,2.00E+07,[M+H]+,YES,Y,,,PC(38:4),1724235106
pHILIC_806.567_4.8,806.567_4.8,PC(38:6),,HMDB0008211,,,-3.022808787,pHILIC,1.00E+07,[M+H]+,YES,Y,,,PC(38:6),286283064.8
pHILIC_834.5972_4.7,834.5972_4.7,PC(40:6),,HMDB0008376,,,-4.240911406,pHILIC,4.00E+06,[M+H]+,YES,Y,,,PC(40:6),1033180905
pHILIC_742.5724_5.1,742.5724_5.1,PC(P-34:2),,,,,-2.85939959,pHILIC,2.00E+06,[M+H]+,YES,Y,,,PC(P-34:2),2459365.779
pHILIC_738.5403_4.4,738.5403_4.4,PC(P-34:4),,,,,-3.959555601,pHILIC,2.00E+05,[M+H]+,YES,Y,,,PC(P-34:4),258031.1555
pHILIC_764.5577_5,764.5577_5,PC(P-36:5),,,,,-1.532795961,pHILIC,1.00E+05,[M-H]-,YES,Y,,,PC(P-36:5),216697.9315
